entity,type,count
Sec,ORG,507
Block,ORG,398
BTC,ORG,341
Solana,ORG,146
ETH,ORG,127
Trump,ORG,96
AI,ORG,93
Ethereum,ORG,91
USDC,ORG,90
Fed,ORG,73
SOL,ORG,68
Google,ORG,59
KYC,ORG,59
Coinbase,ORG,56
DOGE,ORG,53
USDT,ORG,50
SPY,ORG,47
DeFi,ORG,45
Binance,ORG,41
Telegram,ORG,39
Kraken,ORG,38
Amazon,ORG,38
DCA,ORG,37
API,ORG,36
Robinhood,ORG,35
SEC,ORG,30
Paypal,ORG,29
IPO,ORG,29
XRP,ORG,28
Quantum,ORG,28
EU,ORG,28
ATH,ORG,27
Daily Discussion,ORG,26
Tesla,ORG,26
UI,ORG,26
Blackrock,ORG,25
DEX,ORG,25
Visa,ORG,24
Dogecoin,ORG,23
PayPal,ORG,22
BNB Chain,ORG,22
Morgan Stanley,ORG,20
CoinGecko,ORG,20
Drift,ORG,20
BSC,ORG,19
Mastercard,ORG,19
Fear & Greed,ORG,19
USD,ORG,19
NFT,ORG,19
CEX,ORG,18
Bitcoin,PERSON,364
Solana,PERSON,101
Satoshi,PERSON,95
Hormuz,PERSON,85
Crypto,PERSON,61
Trump,PERSON,48
\-,PERSON,46
Satoshi Nakamoto,PERSON,43
Binance,PERSON,29
Saylor,PERSON,26
Musk,PERSON,24
USDT,PERSON,23
Donald Trump,PERSON,19
SpaceX,PERSON,18
Thread,PERSON,17
Cz,PERSON,16
Michael Saylor,PERSON,16
Calendar,PERSON,15
Doots Website,PERSON,15
max,PERSON,15
Elon Musk,PERSON,15
Monero,PERSON,14
Twitter,PERSON,14
Powell,PERSON,13
solana,PERSON,13
Blockchain,PERSON,13
Claude,PERSON,12
Adam Back,PERSON,12
M3 DAO,PERSON,12
devs,PERSON,11
🤔,PERSON,11
Claudia Sheinbaum,PERSON,11
iris scan,PERSON,11
Zelle,PERSON,10
Coinbase,PERSON,10
Jack Dorsey,PERSON,10
Crypto Twitter,PERSON,10
Fynex Wallet,PERSON,9
SOLANA NETWORK,PERSON,9
Bitcoins,PERSON,9
Tether,PERSON,9
Crypto Discussion - March,PERSON,8
Magnum,PERSON,8
SOL,PERSON,8
Doge,PERSON,8
Drop,PERSON,8
DOGE,PERSON,8
Base,PERSON,8
Justin Sun,PERSON,8
kinda,PERSON,7
bitcoin,CRYPTO,1206
sol,CRYPTO,1172
eth,CRYPTO,980
btc,CRYPTO,654
solana,CRYPTO,591
uni,CRYPTO,537
link,CRYPTO,248
dai,CRYPTO,233
binance,CRYPTO,223
usdt,CRYPTO,202
ethereum,CRYPTO,174
ada,CRYPTO,164
doge,CRYPTO,159
coinbase,CRYPTO,112
usdc,CRYPTO,109
matic,CRYPTO,94
kraken,CRYPTO,73
ledger,CRYPTO,61
bnb,CRYPTO,58
dogecoin,CRYPTO,57
xrp,CRYPTO,55
maker,CRYPTO,40
dot,CRYPTO,37
shib,CRYPTO,32
metamask,CRYPTO,30
ftx,CRYPTO,23
tether,CRYPTO,21
trezor,CRYPTO,20
polygon,CRYPTO,20
shiba,CRYPTO,12
uniswap,CRYPTO,11
aave,CRYPTO,11
cardano,CRYPTO,8
ripple,CRYPTO,8
polkadot,CRYPTO,7
chainlink,CRYPTO,5
avalanche,CRYPTO,4
opensea,CRYPTO,2
avax,CRYPTO,1
