coin,date,open,high,low,close,volume,quote_volume,num_trades,price_change,price_change_pct,source
BNB,2026-03-29,611.08,615.3,596.42,606.09,83411.719,50783703.52176,565759,-4.99,-0.8166,binance
BNB,2026-03-30,606.09,621.4,605.09,609.29,122880.083,75659973.45205,816091,3.2,0.528,binance
BNB,2026-03-31,609.29,619.77,598.82,617.43,139130.615,84997108.68721,949176,8.14,1.336,binance
BNB,2026-04-01,617.42,621.9,609.58,610.81,126557.565,77893570.08412,890781,-6.61,-1.0706,binance
BNB,2026-04-02,610.81,613.6,570.31,583.52,297618.319,174048190.49806,1538408,-27.29,-4.4678,binance
BNB,2026-04-03,583.52,590.31,581.93,588.31,76506.375,44847916.33419,560310,4.79,0.8209,binance
BNB,2026-04-04,588.32,589.61,587.1,589.19,8814.478,5186056.76169,62796,0.87,0.1479,binance
BTC,2026-03-29,66377.04,67130.5,65000.0,66010.93,10052.85584,667003517.605987,2146177,-366.11,-0.5516,binance
BTC,2026-03-30,66010.93,68169.65,65800.59,66797.37,18353.38975,1234617690.8920753,3902849,786.44,1.1914,binance
BTC,2026-03-31,66797.38,68589.49,65998.05,68284.48,22105.40662,1490168487.4548745,4846820,1487.1,2.2263,binance
BTC,2026-04-01,68284.49,69310.0,67578.75,68113.92,19020.1899,1301708227.0745244,3741910,-170.57,-0.2498,binance
BTC,2026-04-02,68113.92,68653.38,65712.12,66901.99,20203.47916,1349223461.5270572,4189133,-1211.93,-1.7793,binance
BTC,2026-04-03,66901.99,67370.42,66282.0,66964.3,11429.13131,763535606.9777881,2023104,62.31,0.0931,binance
BTC,2026-04-04,66964.29,66968.28,66775.91,66905.08,1502.61827,100481575.2532261,276053,-59.21,-0.0884,binance
DOGE,2026-03-29,0.09099,0.09169,0.088,0.09045,432289764.0,39061544.70514,388856,-0.00054,-0.5935,binance
DOGE,2026-03-30,0.09046,0.09394,0.09026,0.09083,808515385.0,74693442.8929,594298,0.00037,0.409,binance
DOGE,2026-03-31,0.09084,0.09284,0.08937,0.09232,727310486.0,66417355.37075,612790,0.00148,1.6292,binance
DOGE,2026-04-01,0.09232,0.09453,0.0916,0.09219,641844567.0,59649716.61121,544213,-0.00013,-0.1408,binance
DOGE,2026-04-02,0.09218,0.09273,0.08899,0.0904,672578495.0,60736275.7905,622542,-0.00178,-1.931,binance
DOGE,2026-04-03,0.0904,0.09259,0.08992,0.09156,390119550.0,35666042.1285,336481,0.00116,1.2832,binance
DOGE,2026-04-04,0.09155,0.09155,0.09094,0.0912,43746133.0,3991599.30537,34775,-0.00035,-0.3823,binance
ETH,2026-03-29,1994.74,2019.65,1938.82,1984.64,166726.7382,331249654.02983,2049808,-10.1,-0.5063,binance
ETH,2026-03-30,1984.65,2085.0,1980.28,2026.48,338304.4344,691966365.082457,3886546,41.83,2.1077,binance
ETH,2026-03-31,2026.48,2124.03,2012.64,2105.43,421897.9023,874387220.206194,5013796,78.95,3.8959,binance
ETH,2026-04-01,2105.43,2167.85,2082.08,2140.35,399227.3779,852017259.878771,4211533,34.92,1.6586,binance
ETH,2026-04-02,2140.35,2159.37,2017.04,2057.17,346872.8323,716548524.665744,4462923,-83.18,-3.8863,binance
ETH,2026-04-03,2057.18,2081.76,2040.66,2053.83,136266.6393,280140562.112841,1741595,-3.35,-0.1628,binance
ETH,2026-04-04,2053.83,2054.89,2047.92,2053.27,9834.8572,20171834.129951,237727,-0.56,-0.0273,binance
SHIB,2026-03-29,5.83e-06,5.87e-06,5.64e-06,5.78e-06,560869729154.0,3239511.98765367,86311,-5e-08,-0.8576,binance
SHIB,2026-03-30,5.79e-06,6.16e-06,5.78e-06,5.92e-06,1234279838913.0,7436275.39360482,171434,1.3e-07,2.2453,binance
SHIB,2026-03-31,5.93e-06,6.02e-06,5.82e-06,5.96e-06,899527664740.0,5328200.23082058,143012,3e-08,0.5059,binance
SHIB,2026-04-01,5.95e-06,6.13e-06,5.89e-06,6e-06,880413745445.0,5293960.58640221,132996,5e-08,0.8403,binance
SHIB,2026-04-02,6.01e-06,6.05e-06,5.77e-06,5.87e-06,1168130116011.0,6831763.75479048,151289,-1.4e-07,-2.3295,binance
SHIB,2026-04-03,5.87e-06,6.09e-06,5.82e-06,5.98e-06,961031105884.0,5761190.48796976,108972,1.1e-07,1.8739,binance
SHIB,2026-04-04,5.99e-06,5.99e-06,5.89e-06,5.91e-06,177849905620.0,1052749.2805839,14312,-8e-08,-1.3356,binance
SOL,2026-03-29,82.09,83.24,78.96,81.44,1624673.475,132619257.69694,523110,-0.65,-0.7918,binance
SOL,2026-03-30,81.45,84.99,81.15,82.54,3025854.687,252604976.45833,887139,1.09,1.3382,binance
SOL,2026-03-31,82.55,84.62,80.08,83.2,4272567.426,350168600.26211,1157793,0.65,0.7874,binance
SOL,2026-04-01,83.19,86.65,80.77,81.18,4676736.12,390375500.93046,1221698,-2.01,-2.4162,binance
SOL,2026-04-02,81.19,81.77,76.7,78.94,4210024.263,332877124.59013,1149760,-2.25,-2.7713,binance
SOL,2026-04-03,78.95,80.91,78.85,80.4,2230839.74,178180006.68359,585265,1.45,1.8366,binance
SOL,2026-04-04,80.39,80.42,80.06,80.2,274451.028,22011131.83784,55786,-0.19,-0.2363,binance
